,LeaveOrNot
3561,0
3853,0
3240,0
2280,1
4002,0
405,0
2192,1
2220,1
3031,0
2658,0
2784,1
2055,1
2381,1
2035,0
321,0
4123,1
526,0
468,0
3235,1
2311,0
2556,1
1288,0
4323,0
1247,0
3295,1
2738,0
856,0
557,0
2074,0
3110,0
4124,0
3896,0
2634,0
4363,0
2989,0
1614,1
4319,1
3919,1
267,0
4027,0
803,0
2004,1
1857,1
2312,0
2497,0
1206,0
1798,0
2607,1
1148,1
3999,1
1562,0
4429,0
2752,1
2062,0
2372,1
3974,0
467,1
3341,0
511,0
1743,0
3570,0
606,1
2326,1
2952,0
1331,0
4110,0
3101,0
3492,0
1181,1
1081,0
2973,0
161,0
1769,0
1755,1
2194,0
2096,0
510,0
1676,0
13,0
3577,0
4388,0
4499,1
456,0
1808,1
3442,0
2130,0
756,0
1933,1
2869,0
811,1
1065,0
1328,0
1265,0
4400,1
1819,1
691,0
3649,1
3241,0
3223,0
3746,0
1585,1
501,1
3897,0
2321,0
3831,0
2675,0
1395,0
3051,0
1038,0
1021,0
2977,0
3635,0
2003,0
604,0
4436,0
4036,1
1508,1
210,0
3935,0
3236,1
2176,0
335,1
3246,1
736,0
1322,0
3916,1
2629,1
4390,0
4206,0
3054,0
2982,0
3760,0
1609,0
716,0
2143,0
2937,1
3709,0
903,0
2624,0
3682,1
3723,1
1597,1
3138,1
3907,0
2081,1
2550,1
643,0
1102,1
1030,1
1069,1
4277,0
3007,0
1296,0
2065,0
4151,0
1668,0
1309,1
3834,1
611,0
1106,0
3886,0
3918,0
1404,0
1624,1
494,0
1383,0
3500,0
4289,1
4397,1
3358,0
944,0
3693,0
4266,0
1463,0
1393,0
507,1
1354,1
4099,1
3427,0
1788,1
649,0
2395,1
3860,0
1794,0
1939,0
4540,0
4419,0
2438,0
2399,0
3509,1
2779,1
4362,0
772,1
1695,1
2775,1
1496,1
1219,1
4133,1
4185,0
4113,0
1537,0
1556,1
3644,1
3531,0
1539,0
3388,0
4205,1
2627,1
4464,0
1353,0
428,1
3534,0
4312,1
584,0
227,1
3009,0
3210,1
4172,0
1352,1
1607,0
3381,0
3944,0
4059,1
2248,0
1719,1
3203,1
883,0
1000,0
1208,1
1665,0
1093,0
3211,1
3973,1
2100,0
435,1
3453,0
2500,1
3150,0
2751,1
3157,0
1757,0
3929,0
1718,1
1649,0
184,1
3171,0
578,0
1687,1
1669,0
1633,0
4092,1
1083,0
3004,0
3139,0
1540,0
3958,0
3426,0
69,1
1925,0
1029,0
923,0
3366,0
2177,0
2087,0
1922,1
1411,0
219,1
156,0
1323,0
3704,1
1489,1
745,0
3691,1
406,0
246,1
2190,0
1976,1
1782,0
1814,0
629,0
349,1
2278,0
3995,0
1256,1
4265,1
3201,0
4612,1
829,0
4227,0
1114,0
2843,1
3626,0
975,1
4358,1
1780,1
361,0
1901,0
4030,1
1158,0
1409,1
3765,0
1720,1
339,0
3782,1
3527,0
3364,1
114,0
4427,0
710,0
4097,0
3690,1
3949,0
1768,1
4422,1
3205,1
1812,0
2829,0
4136,1
1287,1
4213,0
1164,0
2590,0
2698,0
3692,0
4407,1
3325,0
4521,1
1466,0
2090,0
2826,0
1174,1
2356,1
1435,1
902,0
1455,0
354,0
3374,1
2853,0
2732,0
2786,0
515,0
4336,0
2350,0
2805,0
3228,0
699,0
2043,0
1374,1
3885,0
3120,1
1011,0
2484,0
2553,0
1300,0
3119,0
3280,0
3418,0
2780,1
3319,0
148,1
2486,1
4326,0
530,0
986,0
3734,0
3844,0
3838,1
2637,0
2436,0
4145,0
4402,0
1941,0
4335,1
4111,1
1292,0
358,1
3770,0
33,0
329,0
2922,0
4256,0
3342,0
4541,0
1536,0
1887,0
1386,0
2156,1
2656,0
686,0
1261,0
2726,1
1405,0
692,1
4177,1
2546,1
3113,0
2949,0
3745,0
1763,0
1987,0
673,0
4582,0
752,1
4646,0
2602,1
3219,1
4004,0
3469,1
802,1
387,1
2874,1
1006,0
807,0
652,1
1670,1
2045,0
1893,0
2847,0
1152,0
2648,1
2728,0
4226,1
4304,0
951,0
3079,1
3751,0
967,1
4377,0
2058,0
3488,1
3971,1
665,0
1357,1
1438,0
2499,0
2725,1
3352,0
3759,0
202,0
2048,1
3764,0
1866,0
758,1
14,0
4018,0
813,1
2667,0
2687,1
2242,0
910,1
2332,0
2402,1
4138,0
3404,0
4380,1
3961,0
1859,0
1882,0
4176,0
3300,0
4045,0
2358,0
4619,0
4221,0
3748,0
4369,0
8,0
2533,0
310,0
3617,0
3458,1
861,1
2953,0
990,0
2475,0
37,1
4469,0
3265,1
6,0
3098,0
3749,0
2717,1
176,0
2137,1
2044,1
1820,0
1338,1
2524,0
3933,0
1442,0
404,0
4297,0
2262,0
2076,0
1488,0
1892,0
2193,1
3937,0
1419,1
3451,0
2029,1
194,0
4021,0
2596,0
2781,0
1850,1
3787,0
3551,0
1704,0
1688,0
2131,0
4100,0
65,1
1689,0
4425,0
3946,0
232,0
1095,0
287,0
2702,0
2198,0
528,0
836,0
3600,0
3178,0
3669,0
1732,0
2006,0
1666,1
237,1
1586,1
1437,0
2707,0
3613,0
1751,0
2887,0
2540,1
113,0
4475,1
3343,1
1767,0
1403,1
2889,1
2691,0
256,1
3887,0
4052,1
3736,1
833,1
751,1
1329,0
2987,0
3789,0
2859,0
4247,0
615,0
2103,0
1388,1
1636,1
3389,0
4220,1
3055,0
1868,0
2458,1
66,0
1727,1
4258,0
3689,0
4376,0
3195,0
3013,0
3408,0
1467,0
4251,0
2668,1
601,0
2041,0
3628,0
1272,0
855,0
344,0
2331,1
1464,1
167,0
2298,0
308,0
1934,0
2398,1
730,1
4327,0
769,1
2263,0
3322,0
977,0
4334,0
2022,1
1259,0
291,0
2971,1
1729,1
2410,0
1250,0
541,1
3008,1
3679,0
2171,0
216,1
719,0
2599,0
2908,0
633,0
173,0
2692,1
389,1
1237,1
3466,0
3229,0
3652,1
2371,0
400,0
4051,0
753,0
2628,0
1027,0
4434,1
1697,0
1207,0
4015,1
356,0
1424,0
3152,0
4035,0
1050,0
4019,1
2294,1
200,1
3876,0
763,1
3963,0
2840,0
2397,0
2467,0
1737,0
4633,0
2215,0
1431,0
2202,0
1865,0
271,0
3607,0
3344,0
1200,0
372,1
806,0
1312,1
3179,0
3788,1
1658,1
3471,1
600,0
2364,1
1674,0
2934,1
4366,0
3976,1
3014,0
2517,0
4648,0
4596,1
4272,1
3375,1
4472,1
1003,0
3795,1
4121,0
2957,1
4528,0
3811,1
3914,0
695,1
1872,0
2875,0
4236,0
3161,1
2697,0
3809,0
1749,1
3633,1
795,0
4321,0
3904,0
1846,0
1973,0
3535,0
4232,1
99,1
2817,0
1632,1
2353,0
3536,1
1332,1
565,0
3346,1
3673,1
3711,1
3938,0
36,0
1453,0
4622,0
3018,0
825,0
3132,0
123,1
3643,0
1702,0
365,0
284,0
487,0
2218,1
1248,0
3815,0
4106,1
1981,0
3879,0
2303,0
3163,0
568,0
3459,0
3977,0
3850,1
3685,0
2165,1
2439,0
1422,0
3160,1
2016,0
598,0
1088,0
917,0
1811,1
166,0
3698,0
840,0
2320,0
1268,0
3829,1
1549,1
3062,0
4171,0
539,0
694,0
4063,0
1514,1
2447,0
3766,0
3252,1
2649,1
2109,0
1823,1
779,1
1185,0
4098,0
893,1
2804,0
4351,0
1567,0
3314,1
1853,0
3582,1
2468,1
1995,0
3220,0
2487,0
3376,0
1639,0
1877,1
777,0
292,0
2507,1
34,1
542,1
1564,0
997,0
2304,0
2418,1
80,0
4613,0
2884,0
1594,0
496,0
728,1
1651,1
4379,0
2670,0
3612,1
2493,1
2538,0
3227,0
2020,1
1681,1
4451,0
1262,0
3830,0
3093,0
2898,1
1008,1
2480,0
4597,0
1960,0
2323,1
1046,0
3978,1
2594,0
281,0
70,1
471,1
1359,0
4328,0
1654,0
1526,1
645,1
962,1
3763,0
4270,0
2383,0
1517,0
3491,0
2683,1
2588,1
942,0
382,0
2530,0
4535,1
239,0
726,1
1005,1
2865,1
4342,0
2699,1
2251,0
3528,0
3804,0
1786,1
3189,1
2098,0
2290,1
2457,0
2616,0
1710,0
2374,0
217,1
1555,0
648,0
3208,1
1415,1
4460,1
47,0
4577,0
3772,0
2641,0
145,0
288,1
3284,1
1348,1
559,0
3137,0
58,0
1938,0
796,0
367,1
220,1
1230,0
2279,0
925,0
146,0
2623,1
1843,1
3069,1
3839,0
83,0
243,1
2291,0
1076,0
3980,1
4214,1
3583,0
181,0
794,0
3156,0
3315,1
575,0
1131,1
519,1
4230,0
2883,0
3856,0
303,1
3439,0
2719,1
898,0
785,1
2135,1
211,0
2848,1
2835,1
3530,0
3378,1
1821,0
1481,0
2053,1
4062,1
4385,0
2618,1
2512,0
2359,1
1810,0
2931,1
2314,1
3569,1
4274,0
116,0
3821,0
2508,1
1506,0
620,1
3102,1
3094,1
4396,0
1547,1
1016,0
4525,0
4549,0
3686,0
711,1
1184,0
2452,1
429,1
1476,0
3025,1
4418,0
517,0
4162,1
2093,1
3460,1
2025,0
4650,1
583,0
2492,1
1852,1
1533,0
3217,1
1944,0
4034,1
383,0
757,1
985,0
3015,0
1023,1
3516,1
1804,0
1551,0
1653,0
306,0
481,0
2209,0
1344,1
1490,0
448,0
1043,1
651,0
3602,1
812,0
3103,0
1797,1
1529,1
1074,1
608,1
4375,0
2841,0
1325,0
2088,1
3629,0
4022,1
1999,1
153,0
39,0
2078,0
4278,0
1779,1
3737,0
3361,0
731,0
3608,1
2906,0
1626,0
3021,0
2217,0
1770,0
2435,1
244,0
1066,0
509,1
2424,0
3934,0
2296,0
3444,1
3650,0
2373,0
2091,1
3263,0
2503,1
4442,1
4010,1
1477,1
715,0
414,1
1436,0
1678,0
2162,1
1827,0
493,0
2882,1
4581,1
1376,1
4071,1
4292,0
3753,0
890,0
169,1
2796,1
2545,0
2531,1
2570,0
3991,0
3000,0
712,1
1356,1
1315,1
1220,0
916,0
2572,1
1486,1
2769,0
2793,0
3543,0
2518,0
1432,1
2385,0
566,0
41,0
422,0
3744,0
1241,0
2673,0
4091,0
52,0
2302,0
4518,0
644,1
2113,0
837,0
3445,0
3475,0
1156,0
4173,0
398,1
2024,0
783,1
3962,0
3075,0
283,0
3477,0
2929,0
1252,1
2959,0
1273,1
1199,1
1906,1
4544,1
2998,1
3149,0
3311,0
1712,0
1141,0
3925,0
4511,1
1714,1
3022,0
3016,0
4126,1
4480,1
552,1
4463,1
197,0
1040,0
4461,0
844,0
4102,1
3463,0
3738,0
3133,1
1143,0
3278,0
1618,1
3968,0
1026,1
4393,0
602,0
1629,0
386,0
2620,0
4070,1
2034,0
1335,1
804,0
492,0
4143,0
2744,0
340,0
1109,0
165,0
3739,0
2483,1
2939,1
3146,0
484,1
4503,1
4288,0
421,0
154,1
591,1
1571,0
2390,0
4374,0
378,0
4197,0
2172,0
1051,0
2114,0
4350,0
2050,0
3435,1
3092,0
3964,0
4514,1
2459,0
3620,1
1596,0
2940,0
4215,0
3983,0
2885,0
249,1
637,0
2394,1
2580,0
3118,0
2319,1
343,1
2325,0
465,1
573,0
2327,0
4360,1
2415,1
22,0
759,1
51,1
835,1
2133,1
2892,1
3655,0
3532,0
1186,1
2557,1
1140,0
2617,0
352,0
4155,0
1696,0
3245,0
1642,0
7,1
3096,0
3637,0
513,0
1448,1
1195,0
247,0
2678,0
235,0
1017,0
3077,1
949,1
3197,0
3349,0
3614,0
2586,0
1870,0
4275,1
1068,0
3045,0
3533,1
708,1
3515,0
4426,0
4287,0
2811,0
1108,0
1246,0
4137,1
2919,0
2582,1
3775,1
1542,1
1784,0
888,0
1890,0
3640,1
1701,1
3797,0
2454,1
3508,0
632,1
4576,0
3269,0
2933,0
1098,0
3599,1
2189,0
4283,0
1756,0
815,1
1090,1
4598,1
2203,0
945,1
1671,1
2720,0
2866,0
4073,0
3909,0
1748,0
3478,0
2231,1
610,1
4248,1
1898,0
2928,0
4401,1
2366,0
4639,1
2208,0
1214,0
2409,0
1075,0
4551,0
94,1
4411,0
4595,1
1279,1
333,0
4330,0
2506,1
3819,1
4250,0
2716,1
1320,0
508,1
331,1
447,1
4608,0
974,1
778,0
1565,0
1044,0
3290,1
2292,1
653,0
346,1
126,0
2974,0
2387,0
2895,0
1018,1
1469,1
1800,0
1725,0
973,1
4355,0
3951,0
1358,0
1520,0
2598,0
4482,0
4332,0
3301,0
483,0
2935,0
2448,1
262,1
2362,0
518,1
991,0
2868,1
3893,1
943,1
1591,0
450,0
3204,0
3049,0
3881,0
4517,0
1355,1
1924,0
1311,0
3784,0
393,0
4569,0
3331,0
675,1
823,1
1613,0
2923,1
3580,0
3264,0
2349,0
3190,0
4349,0
479,1
3173,0
560,1
2911,0
3090,0
1876,1
2622,1
2820,0
2023,1
1212,1
1342,0
4163,0
2230,0
841,1
1569,0
2671,1
1730,0
2036,1
4012,1
245,1
2947,0
3947,0
40,0
4564,0
2343,1
3818,0
662,0
1014,1
4367,1
285,0
3883,0
2406,0
3733,0
1407,0
2900,0
104,0
234,0
2742,0
2241,1
1855,0
616,0
4216,0
1048,1
1055,1
453,0
4591,0
1940,1
2681,1
2432,0
4081,1
2897,0
4068,0
2761,1
1541,0
950,1
1582,1
89,0
3400,1
2355,0
1310,0
1371,0
3273,1
1170,1
4403,0
2969,0
4182,0
2431,1
690,0
2756,0
3567,0
402,0
2026,1
4467,0
701,0
3285,0
3778,0
3046,1
2849,0
1735,0
543,0
3225,0
403,0
2244,0
3130,0
3939,0
3771,0
1929,0
2489,0
1523,0
2715,1
4087,0
3177,0
1532,1
2606,0
860,1
3181,1
1501,0
1895,0
2946,1
1753,0
67,0
2134,1
545,0
4624,0
462,0
814,1
2901,0
4129,0
3807,1
4435,1
233,1
394,1
2236,0
3646,0
4505,1
2661,0
436,1
163,1
3984,0
1807,0
3247,0
2867,1
1546,1
2562,1
775,0
1468,0
3596,0
424,0
2534,0
2379,1
792,1
913,0
2630,1
577,1
747,0
3433,0
4547,1
4229,0
4161,0
4391,0
3401,1
3367,0
579,1
670,1
1289,0
2850,1
2306,0
2505,0
2772,0
115,1
3483,0
1103,0
1841,1
4485,0
3992,1
1297,0
4119,0
3501,0
546,1
3318,0
3941,1
3836,0
1964,0
2465,0
46,0
309,0
877,1
720,0
1282,0
1524,0
3043,0
946,0
3372,1
3396,0
149,0
3260,0
407,0
1747,1
1339,1
4179,1
1955,1
4356,0
805,1
4125,1
624,1
4558,0
174,0
3773,0
2240,1
330,1
2169,0
3993,0
1429,1
311,0
3129,1
3456,1
1042,0
1936,0
740,0
1762,0
2930,0
4352,1
4456,0
3888,0
1984,1
3502,0
4222,0
17,0
353,0
257,0
4626,0
2910,0
4373,0
4050,0
1528,1
59,1
1611,0
3549,0
3921,0
1094,1
4212,0
2469,0
859,0
12,1
3392,0
3465,0
2419,0
388,0
2199,0
419,0
3363,0
4627,0
1566,0
3854,0
1731,0
937,0
2009,1
2541,1
4168,0
2067,1
3862,0
427,0
4468,0
1307,0
1373,0
304,1
1377,0
908,0
408,0
2763,1
980,0
1441,0
2967,0
3354,1
87,0
4281,0
1648,0
512,0
2157,1
679,0
4146,0
1724,1
3085,1
2005,1
3945,1
3321,0
4630,1
3858,1
2148,0
3503,0
661,0
4046,0
4195,0
3767,1
4565,0
2785,0
2122,0
9,0
1781,0
1461,0
3382,0
965,0
3665,0
1856,0
678,1
1557,0
821,0
3563,1
2089,0
2008,1
3328,1
2260,1
2819,1
2370,0
4428,0
2814,0
2978,0
978,1
302,0
3144,0
3429,0
1869,0
3307,0
2139,1
3091,0
3412,1
3254,0
1621,1
21,0
2490,0
2996,0
1105,1
3299,1
1534,0
2470,0
2963,0
3769,0
4303,0
4448,0
498,1
3450,1
2118,1
1391,1
634,0
1958,0
2145,0
4493,0
2068,0
1684,0
924,1
1037,1
612,0
3357,1
3403,0
4515,1
1515,0
4578,0
1983,0
3480,0
3712,1
2891,0
128,1
3714,0
4414,0
3696,1
1603,0
3479,0
1742,0
1096,0
2712,1
2501,1
3512,0
881,1
4449,1
1019,0
4253,0
1845,0
3522,0
2567,0
177,0
1917,1
1249,1
203,1
1655,0
4043,0
1365,0
1126,0
1129,0
289,1
1989,0
2095,1
159,0
4454,0
1899,1
4611,0
932,1
3243,0
4542,1
2115,0
4489,0
1132,0
1997,0
4142,0
1414,1
4132,0
800,1
4219,0
2453,0
2021,0
3351,0
2333,0
706,1
2993,1
4574,0
2014,1
1039,0
1183,1
2140,0
1153,1
4175,0
3998,1
3385,0
666,0
251,0
3802,0
1545,0
3915,1
3615,0
1692,0
2651,1
3033,0
3199,0
905,1
1985,0
1897,0
2573,0
1193,0
2918,1
544,0
1913,0
506,0
4516,0
4032,0
1907,0
4387,0
3870,0
1652,0
2105,1
705,0
1224,0
672,1
2809,0
2425,1
3037,0
1682,1
3882,0
2791,0
3115,0
3955,0
1860,0
3504,0
2701,0
3258,0
1825,0
4048,0
867,0
348,1
847,0
3558,0
1091,0
1112,0
2180,0
1443,1
3842,0
138,0
325,0
2388,1
553,0
3087,1
3230,0
53,0
2144,0
4069,1
3865,0
793,0
1278,0
4584,1
3960,0
252,0
2686,0
2375,0
1433,1
2147,1
2376,0
2393,0
3250,1
1971,0
2643,1
1538,1
2638,1
999,1
2872,0
1417,1
314,0
1163,0
4604,1
727,0
3332,0
3651,0
4348,0
4116,0
3697,1
1573,0
1579,0
4290,0
3125,0
2886,0
1927,0
182,1
2422,0
4371,0
2210,0
3636,0
2626,1
1034,1
3099,1
789,0
357,1
941,0
172,0
2421,1
2378,1
2999,0
2535,0
2844,1
2276,0
3417,1
4443,0
593,0
469,0
4506,1
4134,0
4538,1
3447,0
2369,0
396,0
2396,1
3468,0
2273,0
1647,1
2955,1
3774,0
2830,0
164,0
1484,0
1813,0
250,0
3487,0
1084,0
2249,0
4254,0
4394,0
2827,0
399,1
801,0
2839,0
2861,0
1968,1
3710,0
4320,1
28,1
641,1
2800,0
3293,1
926,1
1608,1
3715,1
1060,0
4353,0
451,0
1956,0
2427,1
2762,0
2033,0
2174,1
2226,1
3419,0
1931,0
1824,0
2980,1
4457,0
3071,1
2753,0
3663,0
3188,0
4491,1
1949,1
3329,0
379,0
535,1
1761,1
1574,0
1840,1
351,1
293,0
3906,1
2073,0
4211,0
1168,1
2932,0
1115,0
4120,0
3070,0
2071,0
3662,0
4415,0
1227,0
2803,0
90,1
959,0
3206,1
3065,0
2571,1
0,0
1645,0
3497,0
682,0
4154,0
381,1
1943,1
2101,0
1491,1
3848,0
1251,0
626,0
915,0
704,0
4479,0
618,1
3890,0
1644,0
2645,1
1509,0
1421,0
319,0
223,0
4305,0
3061,0
213,1
4080,1
572,0
4550,0
3592,0
2250,0
77,0
4103,0
1024,0
1412,0
3826,0
439,1
3924,0
2222,0
2684,0
3505,1
342,1
1032,0
474,1
3623,0
2300,1
2345,1
2593,0
2591,1
1301,0
4308,0
3394,0
2642,0
1858,1
4438,1
2860,1
490,0
222,1
3680,0
4112,1
2368,0
373,1
2981,0
2442,1
931,1
1920,1
685,0
3368,0
2836,1
4447,0
254,1
4047,0
3900,1
4572,1
1874,0
2481,0
4243,1
2456,0
4345,1
2405,1
1222,1
4255,0
2749,1
3731,1
295,1
709,1
2770,1
2059,0
640,1
4257,0
1867,0
1333,0
3922,1
2491,0
3495,0
2329,0
1736,1
3084,0
2994,1
4361,0
1838,0
2970,1
2666,0
2196,0
2445,0
2007,0
4005,1
3889,1
1942,0
1351,0
2767,1
1510,1
1601,0
189,0
3728,1
3594,0
4180,0
1372,0
