,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,id,Race
2818,Bachelors,2015,Pune,2,31.0,Female,No,4,2818,white
323,Bachelors,2013,Bangalore,3,28.0,Male,No,4,323,white
4615,Bachelors,2013,Bangalore,3,35.0,Male,No,4,4615,white
2735,Bachelors,2015,Pune,3,29.0,Male,No,5,2735,white
2808,Bachelors,2012,Bangalore,3,28.0,Male,No,5,2808,white
2608,Bachelors,2016,Bangalore,3,29.0,Male,No,2,2608,white
1218,Bachelors,2017,Pune,3,25.0,Male,No,2,1218,black
3143,Bachelors,2015,Bangalore,3,40.0,Male,No,3,3143,white
953,Bachelors,2015,Pune,2,29.0,Female,No,5,953,white
851,Masters,2017,New Delhi,2,27.0,Male,No,4,851,black
3159,Bachelors,2014,Bangalore,3,37.0,Male,No,4,3159,black
3066,Bachelors,2013,Bangalore,3,34.0,Male,No,5,3066,black
1317,Bachelors,2017,New Delhi,3,29.0,Female,No,5,1317,black
2221,Bachelors,2018,Pune,3,31.0,Male,Yes,1,2221,white
4344,Bachelors,2012,Bangalore,3,33.0,Male,No,3,4344,white
2863,Masters,2015,Pune,2,28.0,Female,No,5,2863,white
2515,Bachelors,2014,Bangalore,3,30.0,Male,No,0,2515,white
1771,Masters,2017,New Delhi,1,27.0,Female,No,4,1771,white
209,Bachelors,2012,Bangalore,3,27.0,Male,No,3,209,black
2688,Bachelors,2014,Bangalore,3,30.0,Male,No,4,2688,black
713,Bachelors,2016,Pune,2,29.0,Female,No,5,713,white
1900,PHD,2014,New Delhi,3,26.0,Male,No,3,1900,black
2758,Bachelors,2015,Pune,3,28.0,Male,No,5,2758,black
2527,Bachelors,2012,Bangalore,3,29.0,Female,No,5,2527,white
4225,Bachelors,2016,Bangalore,3,24.0,Male,No,0,4225,white
1801,Bachelors,2012,Bangalore,3,29.0,Male,No,5,1801,white
3467,Bachelors,2018,New Delhi,3,41.0,Male,Yes,4,3467,black
2880,Bachelors,2015,New Delhi,3,29.0,Female,No,3,2880,white
969,PHD,2013,New Delhi,3,28.0,Male,No,4,969,black
4083,Bachelors,2013,Bangalore,3,35.0,Female,Yes,2,4083,white
2324,Bachelors,2015,New Delhi,3,30.0,Female,No,2,2324,white
1041,Masters,2013,New Delhi,1,25.0,Female,No,2,1041,white
3410,Bachelors,2017,Bangalore,3,35.0,Male,No,0,3410,black
2094,Bachelors,2014,New Delhi,3,31.0,Male,No,2,2094,white
4405,Bachelors,2013,Pune,2,41.0,Female,No,1,4405,white
261,Bachelors,2016,Pune,2,28.0,Female,No,5,261,white
1260,Bachelors,2016,Pune,2,29.0,Female,No,5,1260,white
650,Bachelors,2016,Bangalore,3,26.0,Male,No,3,650,white
617,Masters,2017,New Delhi,2,28.0,Female,No,4,617,white
1746,Bachelors,2013,New Delhi,3,25.0,Female,No,2,1746,white
1445,Bachelors,2018,Pune,3,27.0,Female,No,3,1445,white
1758,Bachelors,2013,Pune,2,26.0,Male,No,3,1758,white
1136,Bachelors,2018,Bangalore,3,29.0,Female,Yes,5,1136,black
729,Bachelors,2015,Bangalore,1,29.0,Female,No,1,729,white
998,Bachelors,2015,Bangalore,3,29.0,Male,No,5,998,white
1635,Bachelors,2012,Bangalore,3,29.0,Female,No,2,1635,white
1439,Bachelors,2013,Bangalore,3,27.0,Male,No,4,1439,white
4242,Masters,2015,Bangalore,3,28.0,Male,No,4,4242,white
570,Bachelors,2017,New Delhi,3,30.0,Female,No,2,570,black
768,Bachelors,2013,Bangalore,3,27.0,Male,No,4,768,black
2741,Bachelors,2014,Bangalore,3,30.0,Male,No,5,2741,white
1321,Bachelors,2016,Bangalore,3,25.0,Female,No,2,1321,white
4158,Bachelors,2012,New Delhi,3,38.0,Female,No,4,4158,white
2175,Masters,2012,New Delhi,1,32.0,Female,No,2,2175,white
3431,Bachelors,2017,Bangalore,3,41.0,Male,No,2,3431,white
2954,Bachelors,2016,Bangalore,3,30.0,Male,No,3,2954,white
3595,Bachelors,2012,Bangalore,3,35.0,Male,No,5,3595,white
614,Bachelors,2015,Pune,3,30.0,Male,No,3,614,white
2015,Bachelors,2012,Bangalore,3,27.0,Female,No,4,2015,white
827,Bachelors,2017,Bangalore,3,29.0,Male,No,2,827,black
4372,Bachelors,2012,New Delhi,3,37.0,Male,No,3,4372,white
2455,Bachelors,2012,Pune,1,28.0,Male,No,5,2455,white
290,Bachelors,2016,Bangalore,3,26.0,Male,No,2,290,white
226,Bachelors,2015,Pune,2,29.0,Female,Yes,5,226,white
4561,Bachelors,2013,Bangalore,3,24.0,Male,No,0,4561,white
4064,Masters,2017,New Delhi,2,36.0,Male,No,2,4064,white
1733,Bachelors,2015,New Delhi,3,26.0,Female,No,2,1733,white
3609,Bachelors,2013,Bangalore,3,39.0,Male,No,5,3609,white
1799,Masters,2017,Pune,3,28.0,Female,No,5,1799,white
961,PHD,2016,Bangalore,3,28.0,Male,No,5,961,white
2348,Masters,2017,Pune,2,31.0,Female,No,2,2348,white
1760,Bachelors,2012,Bangalore,3,29.0,Male,No,5,1760,white
75,Bachelors,2015,Bangalore,3,41.0,Male,No,0,75,white
4241,Masters,2015,Pune,2,41.0,Female,No,0,4241,white
411,Masters,2013,New Delhi,2,26.0,Male,No,3,411,white
401,Bachelors,2012,New Delhi,3,26.0,Female,No,2,401,black
2461,Bachelors,2012,Bangalore,3,28.0,Male,No,5,2461,white
2510,Bachelors,2014,Bangalore,3,31.0,Male,No,1,2510,black
1378,PHD,2018,Bangalore,3,29.0,Female,No,5,1378,white
2614,PHD,2013,New Delhi,3,31.0,Female,No,2,2614,black
1369,Bachelors,2013,Bangalore,3,26.0,Male,No,2,1369,white
3750,Bachelors,2017,Pune,3,32.0,Male,No,0,3750,black
463,Bachelors,2018,Bangalore,3,29.0,Male,No,1,463,black
4074,Bachelors,2017,Bangalore,3,38.0,Female,No,1,4074,white
3002,Masters,2017,Bangalore,3,41.0,Female,No,4,3002,black
1149,Bachelors,2017,Bangalore,3,26.0,Male,No,3,1149,white
773,Bachelors,2017,Bangalore,3,26.0,Female,No,2,773,white
2293,Bachelors,2013,New Delhi,3,29.0,Male,No,5,2293,white
838,Bachelors,2015,Bangalore,3,27.0,Female,No,4,838,white
3917,Bachelors,2017,Bangalore,3,36.0,Male,No,1,3917,white
1576,Bachelors,2017,Bangalore,3,26.0,Female,No,3,1576,white
2877,Bachelors,2015,Bangalore,3,28.0,Male,No,5,2877,white
1460,Bachelors,2012,Pune,3,26.0,Male,No,2,1460,yellow
3114,Bachelors,2016,Bangalore,3,42.0,Male,No,1,3114,white
4589,Bachelors,2015,Bangalore,3,40.0,Female,No,0,4589,white
1171,Bachelors,2013,Bangalore,3,27.0,Male,No,4,1171,white
324,Bachelors,2015,New Delhi,3,27.0,Female,Yes,4,324,white
4512,Masters,2017,New Delhi,1,25.0,Male,No,1,4512,white
2870,Bachelors,2013,Pune,3,28.0,Male,No,5,2870,white
4359,Bachelors,2016,New Delhi,3,27.0,Female,No,4,4359,white
3905,Bachelors,2015,Bangalore,3,41.0,Male,No,1,3905,white
1166,Bachelors,2015,Pune,3,30.0,Male,No,2,1166,white
336,Bachelors,2013,Bangalore,3,28.0,Female,No,5,336,white
540,Bachelors,2016,Bangalore,3,26.0,Male,No,3,540,white
3185,Bachelors,2013,Bangalore,3,34.0,Female,No,4,3185,white
3168,Bachelors,2013,Pune,3,42.0,Female,No,5,3168,white
3755,Bachelors,2014,Bangalore,3,39.0,Male,No,1,3755,black
2252,Masters,2017,New Delhi,2,32.0,Female,No,2,2252,white
3555,Bachelors,2015,New Delhi,2,35.0,Female,No,3,3555,black
984,Bachelors,2015,Bangalore,3,26.0,Female,No,3,984,black
2604,Bachelors,2014,Pune,3,30.0,Male,No,3,2604,white
4519,Bachelors,2017,Bangalore,3,25.0,Male,Yes,2,4519,white
3438,Bachelors,2016,Bangalore,3,41.0,Male,No,0,3438,white
3768,Bachelors,2016,New Delhi,3,34.0,Male,No,1,3768,white
4534,Bachelors,2012,Bangalore,3,26.0,Male,No,2,4534,white
1816,Bachelors,2017,Bangalore,3,29.0,Female,No,3,1816,white
3754,Bachelors,2016,Pune,3,38.0,Male,No,3,3754,white
1159,Bachelors,2016,Pune,2,29.0,Female,No,0,1159,white
1992,Bachelors,2017,Pune,2,28.0,Male,No,4,1992,white
1590,Masters,2013,New Delhi,3,26.0,Male,No,3,1590,black
2420,Bachelors,2017,Bangalore,3,32.0,Male,No,2,2420,white
318,Bachelors,2018,Pune,3,28.0,Female,No,4,318,black
2976,PHD,2015,New Delhi,2,29.0,Female,No,5,2976,white
3584,Bachelors,2017,Bangalore,3,36.0,Female,No,3,3584,white
2384,Masters,2017,Pune,2,32.0,Male,Yes,2,2384,white
2149,Bachelors,2013,Bangalore,3,28.0,Female,No,5,2149,white
1745,Masters,2014,New Delhi,3,25.0,Male,No,2,1745,black
1602,Bachelors,2014,Bangalore,3,29.0,Male,No,3,1602,white
897,Masters,2017,New Delhi,2,28.0,Female,No,4,897,white
3387,Masters,2015,New Delhi,3,39.0,Male,No,2,3387,white
1830,Bachelors,2017,Pune,3,29.0,Male,No,1,1830,white
2233,Bachelors,2014,New Delhi,3,29.0,Female,No,1,2233,black
3242,Bachelors,2014,Bangalore,3,36.0,Male,No,3,3242,black
4208,Bachelors,2018,Pune,3,36.0,Male,No,0,4208,black
3799,Bachelors,2016,Bangalore,1,39.0,Male,No,3,3799,white
2554,Bachelors,2013,Bangalore,3,32.0,Male,No,5,2554,white
723,Bachelors,2015,Pune,2,29.0,Female,Yes,2,723,black
430,Masters,2014,New Delhi,3,28.0,Male,No,4,430,white
4504,Masters,2012,New Delhi,3,39.0,Male,No,4,4504,black
4404,Bachelors,2016,Bangalore,3,24.0,Male,No,1,4404,white
2521,Masters,2017,New Delhi,2,29.0,Male,No,5,2521,white
2430,Masters,2014,New Delhi,3,29.0,Male,No,1,2430,black
2854,Bachelors,2018,Bangalore,3,29.0,Male,Yes,5,2854,white
660,Bachelors,2016,Bangalore,3,30.0,Female,No,3,660,white
3796,Bachelors,2016,Pune,2,38.0,Female,No,3,3796,white
2855,Masters,2017,Pune,2,30.0,Male,No,5,2855,white
76,Bachelors,2014,Bangalore,1,25.0,Female,No,1,76,white
4546,Bachelors,2017,Bangalore,3,27.0,Female,No,3,4546,white
4495,Bachelors,2017,Bangalore,3,41.0,Female,No,3,4495,black
2729,Bachelors,2018,Bangalore,2,30.0,Female,No,3,2729,white
2574,Bachelors,2015,Pune,3,29.0,Male,No,3,2574,black
1454,Bachelors,2014,Bangalore,3,28.0,Female,No,4,1454,white
3940,Bachelors,2017,Pune,3,39.0,Male,Yes,5,3940,yellow
2049,Bachelors,2014,Bangalore,3,28.0,Male,No,4,2049,white
2085,Masters,2017,Pune,2,29.0,Male,No,5,2085,white
1399,Bachelors,2017,Bangalore,1,29.0,Female,No,3,1399,black
1423,Bachelors,2015,Pune,3,25.0,Female,No,2,1423,white
846,Bachelors,2018,Bangalore,3,27.0,Male,No,3,846,black
108,Masters,2013,Pune,3,26.0,Male,No,3,108,white
2894,Bachelors,2016,Bangalore,3,29.0,Female,No,5,2894,white
940,Bachelors,2017,Pune,3,29.0,Female,No,1,940,white
1848,Bachelors,2016,Bangalore,3,27.0,Male,No,4,1848,white
2382,Bachelors,2013,Bangalore,3,28.0,Male,Yes,4,2382,white
4623,PHD,2013,Bangalore,3,26.0,Male,No,2,4623,white
2299,Bachelors,2013,Bangalore,3,29.0,Male,No,5,2299,white
2558,Masters,2015,Bangalore,3,30.0,Male,No,0,2558,white
1915,Bachelors,2014,Bangalore,3,29.0,Male,No,5,1915,white
1518,Bachelors,2016,Bangalore,3,27.0,Male,No,4,1518,white
426,Bachelors,2014,Pune,3,28.0,Male,No,5,426,yellow
93,Masters,2013,New Delhi,3,38.0,Male,No,2,93,white
1101,Bachelors,2013,Bangalore,3,29.0,Female,No,4,1101,black
2187,Bachelors,2017,Bangalore,3,29.0,Female,No,1,2187,white
2783,Masters,2017,New Delhi,3,31.0,Male,No,3,2783,white
1244,PHD,2015,Pune,3,29.0,Male,No,0,1244,black
158,Bachelors,2015,Bangalore,3,26.0,Male,No,3,158,white
919,Bachelors,2014,Bangalore,3,25.0,Male,No,2,919,white
1379,Bachelors,2015,Bangalore,3,28.0,Male,No,4,1379,white
4552,Bachelors,2015,Bangalore,3,40.0,Female,No,0,4552,white
3880,Bachelors,2018,Bangalore,3,39.0,Male,No,1,3880,white
3843,Bachelors,2016,Pune,3,38.0,Male,No,0,3843,black
2219,Bachelors,2016,Bangalore,3,30.0,Female,No,1,2219,black
2213,Bachelors,2013,Pune,3,31.0,Male,No,1,2213,white
4152,Masters,2015,Pune,2,26.0,Female,No,2,4152,white
455,Bachelors,2013,Bangalore,3,29.0,Male,No,5,455,white
3262,Bachelors,2012,Bangalore,3,39.0,Female,No,3,3262,black
3566,Masters,2017,Bangalore,2,41.0,Female,No,2,3566,white
86,Bachelors,2017,Pune,2,28.0,Female,No,5,86,white
680,Bachelors,2013,Bangalore,3,25.0,Male,No,2,680,white
3524,Bachelors,2012,Bangalore,3,42.0,Male,No,1,3524,white
2782,Masters,2016,New Delhi,3,32.0,Male,No,2,2782,black
1015,Bachelors,2014,Bangalore,3,27.0,Male,No,3,1015,white
4094,Bachelors,2013,Pune,2,26.0,Male,No,2,4094,white
3547,Bachelors,2017,New Delhi,3,37.0,Female,No,5,3547,white
2451,Bachelors,2015,Bangalore,3,27.0,Male,No,4,2451,white
2361,Masters,2018,New Delhi,1,31.0,Female,No,2,2361,black
787,Bachelors,2018,Bangalore,3,25.0,Male,No,2,787,white
2549,Bachelors,2016,Bangalore,3,31.0,Male,No,2,2549,black
2787,Bachelors,2017,Bangalore,1,32.0,Male,No,2,2787,white
2664,Bachelors,2013,New Delhi,3,28.0,Female,No,5,2664,white
1622,Bachelors,2016,New Delhi,3,30.0,Female,No,4,1622,white
143,Bachelors,2016,Bangalore,3,28.0,Male,No,4,143,black
3167,Bachelors,2013,Bangalore,3,37.0,Male,No,2,3167,black
4268,Bachelors,2016,New Delhi,3,40.0,Female,No,0,4268,white
627,Bachelors,2012,Pune,3,30.0,Male,No,3,627,white
2413,Masters,2017,New Delhi,3,28.0,Male,Yes,5,2413,white
1881,Masters,2017,New Delhi,3,28.0,Male,No,4,1881,white
1978,Masters,2013,New Delhi,3,26.0,Male,No,3,1978,white
571,Bachelors,2014,Pune,3,26.0,Female,No,3,571,white
3997,Bachelors,2014,Bangalore,3,38.0,Female,No,1,3997,black
3259,Bachelors,2015,New Delhi,3,39.0,Female,No,0,3259,white
3336,Bachelors,2014,Bangalore,3,37.0,Female,No,3,3336,yellow
922,Bachelors,2015,Bangalore,3,27.0,Male,No,4,922,white
2904,Masters,2016,New Delhi,3,31.0,Female,No,1,2904,black
3661,Bachelors,2016,Bangalore,3,40.0,Male,No,2,3661,black
4238,Bachelors,2014,Pune,3,32.0,Female,No,2,4238,white
3313,Bachelors,2016,New Delhi,3,41.0,Male,No,0,3313,white
3965,Bachelors,2012,Bangalore,3,37.0,Male,No,5,3965,black
4433,Masters,2015,Pune,3,29.0,Female,No,5,4433,black
3032,Masters,2012,Bangalore,2,33.0,Male,No,3,3032,white
592,PHD,2017,Bangalore,3,29.0,Male,No,1,592,white
1561,Bachelors,2016,Bangalore,3,28.0,Male,Yes,5,1561,white
1851,Masters,2017,New Delhi,2,28.0,Female,No,5,1851,white
3081,Bachelors,2017,New Delhi,2,40.0,Male,No,2,3081,white
4601,Bachelors,2016,Bangalore,3,39.0,Male,No,2,4601,white
3564,Bachelors,2014,Pune,1,42.0,Female,No,1,3564,white
930,Bachelors,2012,Bangalore,3,30.0,Male,No,3,930,black
2037,Bachelors,2018,New Delhi,3,28.0,Female,No,5,2037,white
3224,Bachelors,2017,Bangalore,3,42.0,Male,No,5,3224,white
3457,Masters,2017,New Delhi,2,35.0,Male,No,2,3457,white
2392,Bachelors,2016,Bangalore,3,28.0,Male,No,4,2392,black
3474,Bachelors,2012,Bangalore,3,42.0,Male,Yes,0,3474,white
183,Masters,2017,New Delhi,3,28.0,Male,No,5,183,white
1493,Masters,2017,New Delhi,3,29.0,Female,No,5,1493,black
3675,Bachelors,2014,Pune,2,42.0,Female,No,3,3675,black
1604,Bachelors,2015,Bangalore,1,29.0,Male,No,5,1604,yellow
2183,Bachelors,2014,Bangalore,3,29.0,Male,No,2,2183,white
1367,Bachelors,2013,Bangalore,3,27.0,Female,No,3,1367,white
2713,Bachelors,2015,Pune,3,29.0,Male,No,5,2713,white
503,Bachelors,2014,New Delhi,3,30.0,Female,No,2,503,black
587,Bachelors,2016,Pune,3,28.0,Male,No,4,587,white
4157,Bachelors,2014,Bangalore,3,40.0,Female,No,5,4157,white
2511,Bachelors,2016,Bangalore,3,28.0,Male,No,5,2511,white
2589,Bachelors,2012,Bangalore,3,27.0,Female,No,4,2589,white
1475,Bachelors,2013,Bangalore,3,27.0,Male,Yes,3,1475,white
2513,Bachelors,2014,Bangalore,3,28.0,Male,No,4,2513,black
788,Masters,2015,Pune,3,29.0,Female,No,3,788,white
4432,Masters,2017,Pune,3,26.0,Female,No,2,4432,white
